no	url	Lat	Lng	Price	DateListed	LastEdit	SelerType	Make	Model	Variant	BodyType	Year	Km	Trans	DriveTrain	Fuel	AC	Cyl	EngLit	Reg	RegExp	RegNum	Country	State
1	https://www.gumtree.com.au//s-ad/medowie/cars-vans-utes/onsite-cabin-at-birubi-beach-caravan-park/1141061937	-32.738998	151.880454	92500	 05/03/2017	 05/03/2017	Private seller	Abarth	Other			1985	0				Yes	0	n				Italy	New South Wales
2	https://www.gumtree.com.au//s-ad/randwick/cars-vans-utes/cash-for-all-cars-vans-utes-trucks-any-condition-any-make/1137275136	-33.91319	151.240563	5000	 28/01/2017	 28/01/2017	Private seller	Abarth	Other			2000	0					0	n				Italy	New South Wales
3	https://www.gumtree.com.au//s-ad/port-melbourne/cars-vans-utes/2011-abarth-500-series-1-esseesse-mta-c-red-5-speed-seq-manual-auto-clutch-convertible/1139120319	-37.8302536	144.9322052	22490	 28/02/2017	 28/02/2017	Dealer used	Abarth	500	ESSEESSE	Convertible	2011	85874	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	1	Yes	01-01-18	1DD4DY	Italy	Victoria
4	https://www.gumtree.com.au//s-ad/brooklyn/cars-vans-utes/2012-abarth-500-series-1-esseesse-mta-c-grey-5-speed-seq-manual-auto-clutch-convertible/1141401931	-37.82104492	144.8493805	22990	 08/03/2017	 08/03/2017	Dealer used	Abarth	500	ESSEESSE	Convertible	2012	54876	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	1			ZJD318	Italy	Victoria
5	https://www.gumtree.com.au//s-ad/rothwell/cars-vans-utes/12-2004-softail-deuce/1130371627	-27.217668	153.056179	22000	 10/01/2017	 15/02/2017	Private seller	Abarth	Other			2004	22400					0	n				Italy	Queensland
6	https://www.gumtree.com.au//s-ad/stretton/cars-vans-utes/2013-abarth-695-convertible-edizione-maserati-finance-available/1137697602	-27.623333	153.067778	37777	 31/01/2017	 31/01/2017	Private seller	Abarth	695	EDIZIONE MASERATI	Convertible	2013	49121	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	1	Yes			Italy	Queensland
7	https://www.gumtree.com.au//s-ad/myaree/cars-vans-utes/2015-abarth-595-series-3-competizione-dualogic-white-5-speed-sports-automatic-single-clutch/1139437304	-32.04154968	115.8156052	38990	 04/03/2017	 04/03/2017	Dealer used	Abarth	595	COMPETIZIONE	Hatchback	2015	150	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	1	Yes	01-06-17	1GAT035	Italy	Western Australia
8	https://www.gumtree.com.au//s-ad/rozelle/cars-vans-utes/2011-abarth-695-series-1-tributo-ferrari-mta-red-5-speed-seq-manual-auto-clutch-hatchback/1140587018	-33.86510468	151.1772614	36800	 28/02/2017	 28/02/2017	Dealer used	Abarth	695	TRIBUTO FERRARI	Hatchback	2011	22738	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	1			DHC16L	Italy	New South Wales
9	https://www.gumtree.com.au//s-ad/myaree/cars-vans-utes/2016-abarth-595-series-3-competizione-dualogic-grey-5-speed-sports-automatic-single-clutch/1140816497	-32.04154968	115.8156052	34990	 12/03/2017	 12/03/2017	Dealer used	Abarth	595	COMPETIZIONE	Convertible	2016	11874	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	1	No	01-03-17	1GEP654	Italy	Western Australia
10	https://www.gumtree.com.au//s-ad/kenwick/cars-vans-utes/spray-booth-brand-new/1138810847	-32.027163	115.981115	15000	 11/02/2017	 22/02/2017	Private seller	Abarth	Other			2017	0	Automatic	Front Wheel Drive			0	n				Italy	Western Australia
11	https://www.gumtree.com.au//s-ad/sydney-city/cars-vans-utes/michael-s-car/1140504236	-33.868742	151.209147	127999	 28/02/2017	 28/02/2017	Private seller	Abarth	124	SPIDER	Coupe (2 door)	2017	99999	Manual	Rear Wheel Drive	Petrol - Premium Unleaded	Yes	4	1				Italy	New South Wales
12	https://www.gumtree.com.au//s-ad/zetland/cars-vans-utes/2017-abarth-124-spider-spider-jet-black-8-speed-automatic-roadster/1141286744	-33.90745544	151.2085876	46990	 07/03/2017	 07/03/2017	Dealer new	Abarth	Other	SPIDER	Coupe (2 door)	2017	10	Automatic	Rear Wheel Drive	Petrol - Premium Unleaded	Yes	4	1				Italy	New South Wales
13	https://www.gumtree.com.au//s-ad/zetland/cars-vans-utes/2017-abarth-124-spider-spider-red-8-speed-automatic-roadster/1141287147	-33.90745544	151.2085876	46990	 07/03/2017	 07/03/2017	Dealer new	Abarth	Other	SPIDER	Coupe (2 door)	2017	10	Automatic	Rear Wheel Drive	Petrol - Premium Unleaded	Yes	4	1				Italy	New South Wales
14	https://www.gumtree.com.au//s-ad/zetland/cars-vans-utes/2017-abarth-124-spider-spider-aluminium-6-speed-manual-roadster/1141287587	-33.90745544	151.2085876	43990	 07/03/2017	 07/03/2017	Dealer new	Abarth	Other	SPIDER	Coupe (2 door)	2017	10	Manual	Rear Wheel Drive	Petrol - Premium Unleaded	Yes	4	1				Italy	New South Wales
15	https://www.gumtree.com.au//s-ad/north-curl-curl/cars-vans-utes/2017-abarth-124-spider-spider-crystal-white-pearl-tri-coat-8-speed-automatic-roadster/1141540426	-33.75870514	151.279953	45990	 10/03/2017	 10/03/2017	Dealer new	Abarth	Other	SPIDER	Coupe (2 door)	2017	5	Automatic	Rear Wheel Drive	Petrol - Premium Unleaded	Yes	4	1				Italy	New South Wales
16	https://www.gumtree.com.au//s-ad/mount-gravatt/cars-vans-utes/2016-abarth-124-spider-black-6-speed-manual-roadster/1127967880	-27.53571701	153.0776672	44500	 09/03/2017	 09/03/2017	Dealer demo	Abarth	Other	SPIDER	Coupe (2 door)	2016	3121	Manual	Rear Wheel Drive	Petrol - Premium Unleaded	Yes	4	1			CRICKS	Italy	Queensland
17	https://www.gumtree.com.au//s-ad/zetland/cars-vans-utes/2017-abarth-124-spider-spider-dynamic-blue-8-speed-automatic-roadster/1141287982	-33.90745544	151.2085876	46990	 07/03/2017	 07/03/2017	Dealer new	Abarth	Other	SPIDER	Coupe (2 door)	2017	10	Automatic	Rear Wheel Drive	Petrol - Premium Unleaded	Yes	4	1				Italy	New South Wales
18	https://www.gumtree.com.au//s-ad/north-curl-curl/cars-vans-utes/2016-abarth-124-spider-spider-jet-black-6-speed-manual-roadster/1136487123	-33.75870514	151.279953	46980	 03/03/2017	 03/03/2017	Dealer new	Abarth	Other	SPIDER	Coupe (2 door)	2016	5	Manual	Rear Wheel Drive	Petrol - Premium Unleaded	Yes	4	1				Italy	New South Wales
19	https://www.gumtree.com.au//s-ad/zetland/cars-vans-utes/2016-abarth-124-spider-spider-jet-black-8-speed-automatic-roadster/1140106589	-33.90745544	151.2085876	46990	 10/03/2017	 10/03/2017	Dealer new	Abarth	Other	SPIDER	Coupe (2 door)	2016	10	Automatic	Rear Wheel Drive	Petrol - Premium Unleaded	Yes	4	1				Italy	New South Wales
20	https://www.gumtree.com.au//s-ad/hallam/cars-vans-utes/2016-abarth-595-series-3-white-5-speed-manual-hatchback/1139828698	-38.00831223	145.2750549	25808	 11/03/2017	 11/03/2017	Dealer used	Abarth	595		Hatchback	2016	2820	Manual	Front Wheel Drive	Petrol - Unleaded	Yes	4	1	Yes	01-09-17	AJI245	Italy	Victoria
21	https://www.gumtree.com.au//s-ad/st-marys/cars-vans-utes/2016-abarth-124-spider-launch-edition-white-6-speed-sports-automatic-roadster/1136494766	-35.01038742	138.5771179	40989	 09/03/2017	 09/03/2017	Dealer used	Abarth	Other	SPIDER LAUNCH EDITION	Coupe (2 door)	2016	911	Automatic	Rear Wheel Drive	Petrol - Premium Unleaded	Yes	4	1	No	01-01-17	S433BNI	Italy	South Australia
22	https://www.gumtree.com.au//s-ad/castlemaine/cars-vans-utes/1968-alfa-romeo-gtv-coupe/1137958342	-37.058136	144.2185006	48500	 03/02/2017	 03/02/2017	Private seller	Alfa Romeo	GTV		Coupe (2 door)	1968	61733	Manual	Rear Wheel Drive			0	n				Italy	Victoria
23	https://www.gumtree.com.au//s-ad/tuggerawong/cars-vans-utes/1966-alfa-romeo-giulia-coupe/1141639604	-33.2838797	151.4712744	35000	 11/03/2017	 11/03/2017	Private seller	Alfa Romeo	Giulia	SPRINT GT VELOCE	Coupe (2 door)	1966	44000	Manual	Rear Wheel Drive	Petrol - Leaded	No	4	1	No			Italy	New South Wales
24	https://www.gumtree.com.au//s-ad/richmond/cars-vans-utes/1970-alfa-romeo-berlina-sedan/1139930935	-34.938527	138.562649	24950	 08/03/2017	 08/03/2017	Dealer used	Alfa Romeo	Berlina	1750	Sedan	1970	52542	Manual	Rear Wheel Drive	Petrol - Leaded	No	4	1	No			Italy	South Australia
25	https://www.gumtree.com.au//s-ad/footscray/cars-vans-utes/1979-alfa-romeo-2000-spider-great-value-22-900-/1138689504	-37.800262	144.906017	22900	 10/03/2017	 10/03/2017	Dealer used	Alfa Romeo	Spider	2000 VELOCE	Coupe (2 door)	1976	150633	Manual	Rear Wheel Drive	Petrol - Leaded	No	4	2	No			Italy	Victoria
26	https://www.gumtree.com.au//s-ad/strathalbyn/cars-vans-utes/alfa-romeo-alfetta-gtv-2000/1113103385	-35.1926394	139.0051263	8990	 16/05/2016	 28/10/2016	Private seller	Alfa Romeo	Alfetta	GTV 2000L	Coupe (2 door)	1981	40000	Manual	Rear Wheel Drive	Petrol - Leaded	Yes	4	2	Yes			Italy	South Australia
